"P1","P2","P3","P4","Hypothesis","GoldLabel"
"A woman looks up.","A woman extends upward an arm.","A woman in a purple tank top holds a tennis racket.","A woman extends upward an arm.","The woman holding the tennis racket is looking up.","entailment"
"other men in orange hard hats stand atop a platform.","a platform overlooking the wide open vista.","Cameramen stand atop a platform.","other men in orange hard hats stand atop a platform.","The cameraman and other men are on a platform on a sunny day.","neutral"
"people walking on the sidewalk.","people crossing the street.","The picture is of a downtown area with people.","people walking on the sidewalk.","The picture showed an alley-way with no people.","contradiction"
"A person in yellow pants is on a snowboard.","a snowboard coming down a roof into the snow.","A person in a green jacket is on a snowboard.","a snowboard coming down a roof into the snow.","A person injured his hamstring, and could not ride to the mountain today.","contradiction"
"a restaurant covered in decorations.","a restaurant covered in coca - cola chairs.","Man cleaning tables.","Man cleaning tables.","The man is a busser.","entailment"
"A woman dressed in brown shoes soaking her feet in a rocky creek while sitting on a towel.","A woman dressed in plaid shorts soaking her feet in a rocky creek while sitting on a towel.","A woman dressed in a blue shirt soaking her feet in a rocky creek while sitting on a towel.","A woman dressed in a blue shirt soaking her feet in a rocky creek while sitting on a towel.","The woman is sitting outside.","entailment"
"her cellphone standing in a parking lot.","rollerskates talking on her cellphone.","A girl is on rollerskates.","A girl is on rollerskates.","A woman is smoking inside.","contradiction"
"Man with a black helmet is doing some kind of a trick on his motorcycle.","Man with a red helmet is doing some kind of a trick on his motorcycle.","Man with red elmo shirt is doing some kind of a trick on his motorcycle.","Man with red elmo shirt is doing some kind of a trick on his motorcycle.","A man is wearing a helmet","entailment"
"A little girl in a red headband holds onto a tree limb.","A little girl in a red sweater holds onto a tree limb.","A little girl sticks out her tongue.","A little girl sticks out her tongue.","A tall human climbing","neutral"
"A man in a blue striped shirt are singing into microphones.","A man in a black striped shirt are singing into microphones.","A man in a red shirt are singing into microphones.","A man in a red shirt are singing into microphones.","There is a woman in a green shirt.","contradiction"
"A man in a blue shirt practices the art of contact juggling.","A man in a white shirt practices the art of contact juggling.","A man in a yellow shirt practices the art of contact juggling.","A man in a yellow shirt practices the art of contact juggling.","A woman is painting a portrait.","contradiction"
"A band member in a red uniform holds his silver horn.","A band member in a white uniform holds his silver horn.","A band member in a black uniform holds his silver horn.","A band member in a black uniform holds his silver horn.","The brass player holds his instrument at the ready","entailment"
"Girl wearing long sleve white jacket.","a pink bag walking through a crowded area.","Girl wearing a mini dress with a pink bag.","Girl wearing a mini dress with a pink bag.","The girl is late to meet up with her friend at the concert.","neutral"
"Young guy sitting on the curb in sandals.","Young guy sitting on the curb in , dark shorts.","Young guy sitting on the curb in white t - shirt.","Young guy sitting on the curb in white t - shirt.","A girl is sitting on a curb.","contradiction"
"a blue shirt using his sitting outside a building.","One in a blue shirt using his one man looking away.","One in a blue shirt using his cellphone.","One in a blue shirt using his cellphone.","a guy is on a phone and is next to another guy","entailment"
"a red bandanna wrapped around his face.","a man sleeping with a red bandanna.","A pigeon lurks near a man.","A pigeon lurks near a man.","The bird is lurking.","entailment"
"a man wearing orange shoes on a busy street.","A family of four to chat with a man.","A family of four stops .","A family of four stops .","People are engaging in a conversation on the street.","entailment"
